"content","sentiment"
"gojek versi baru bagi gofood jd aneh dulu kata kunci makan sekarang pilih resto kan jd sulit nemuin nya misal search lumpia dulu b ketemu by food aj skr search lumpia yg nongol cm resto lumpia resto yg jg jual lumpia tp cm side dish ga nongol search by foodnya ud ga balikin aja kaya dlu lbh gampang klo mw cari makan skr bata bgt hr hapal nama restonya dlu aneh","1"
"sekarang sering menanggapiforce close devicehp baru loh kan mungkin bukan faktor devicenya to titik alamat yg simpan nggeser sendiri udah edit alamat selesai simpan tetep balik nggeser padahal apk nya dulu gin deh segera baik","1"
"sangat bantu","1"
"mahal banget diskon dikit","1"
"makin sini bukan makin bagus malah makin jelek","0"
"mending pindah grab aja dah promo foodny banyak akun gojek gada promo foodny sama sekali jdi percuma langgan gofood n beri dislike","0"
"gak laku bayar tulis gak sinyal internet","0"
"servernya payah apply paylater tolak terus tdk layan care","1"
"teknologi buat indonesia","1"
"baik","1"
"mantab pesan makan gk usah keluar rumah","1"
"klo kasi bintang minus buat aplikasi sy kasi minus driver bnyak nganggur tp sy tdk dpt driver","0"
"suka banget pake gojek yg gofood soal tolong bgt kalo laper","1"
"no comment","0"
"aplikasi ga da otak dunguuu","0"
"updatenya jelek","0"
"layan nya bagus","1"
"pernah pesan gocar driver sopan ramah apa kondisi tumpang profesional","0"
"tetap yg baik angkut barang pakai gobox lebih mudah driver nya alam","1"
"bagus mudah","1"
"mantap","1"
"sangat bantu ber manfaat guna nya","1"
"sangat bantu diamana butuh the best buat aplikasi","1"
"harga jgn mahal mahal min","1"
"mantabs pokok","1"
"docoba dulu","1"
"kecewa gojek saldo tiba tiba hilang tanggal september tanggal kembali oktober saldo prose kan saldo juta saldo jangan gelap kan kembali saldo","0"
"gabisa transfer bayar qr kalo gapake wifi","0"
"sangat memmbantu","1"
"promonya apaansih rb melulu mangkin ga jelas","0"
"udah bayar tagih gopinjam saldo rekening potong tagih bulan november bayar kali bayar potong kali bulan november trus uang transaksi pertama ambil siapa min sy konfirmasi tanya","1"
"drivernya handal cakap dlm kerja","1"
"kecewa udh beberapa hari gabisa pakai gopaylater nya padahal ga pernah telat bayar tagih","1"
"ramah","1"
"puas bikin semuq qda jalan","1"
"top","1"
"ok","1"
"cepat lancar","1"
"gopaylater guna","0"
"ok","1"
"buruk","0"
"oke","1"
"sepenuh guna aplikasi moga nggk masalah","1"
"nice","1"
"kasih tiga dulu","1"
"joss bangett","1"
"aplikasi gojek sangat bantu aku","1"
"makin lama makin gk ngotak","0"
"gopaylater sejak ganti mab dr kmrn mau dipake tulis ganggu mulu udah dcnya kalo nagih ga ngotak pdhl bulan sblmnya lancar aja","0"
"good apk","1"
"mamtap","1"
"keren lah","1"
"akhir akhir banyak promo sesuai","1"
"makin gk jls gojekdari malam sore transfer rekening masa skrg masuk","0"
"email gojek isi spam gk selesai masalah","0"
"so far bagus kok banyakin promo dong","1"
"user gojek dah lama sekarang malah licik main jarak deket dijauhin putar lebih jauh","1"
"neng bgt pake apk lebih mudah gk pake ribet mudah an tetep","1"
"ok","1"
"mantap","1"
"awzzzzz","0"
"jujur baru kali kecewa gojek padahal guna lama setia riwayat sy bagus bahkan level sy sdh sultan entah sdh bln gopaylater sy tdk b guna semenjak alih mab sdh beberapa kali sy tanya jawabanya tdk kendala blm b guna tunggu pemberitahuan padahal dulu semua fasilitas sy dapat record sy bagus dr paylater sampe go pinjam sekarang semua tdk b digunakandigunakankecewa bgt","0"
"gopay is the best","1"
"makin lama makin gajelastelat hari gopaylater denda k trs luna gabisa pake lagiga recommended pake gopaylater wkwk","0"
"gopaylater ngak guna padahal baru bayar pernah telat baca opp sedikit ganggu mohon bantu","1"
"bagus","1"
"ok","1"
"baik bngt","1"
"saran buat gojek baharu aplikasi driver pasti bensin minimal batang","0"
"top lah","1"
"sangat puas apk gojek","1"
"app local product mantap bangett cuma kadang beberapa titik deteksi","1"
"top bngt","1"
"pernah lambat bayar gopay latter sdh bln apk pakai gopay pinjam baru sekali lambat sulit baru hari langsung wa kontak darurat ancam aplikasi legal rasa ilegal cemar nama baik belum sangat bantu kok begini laku langgan lama gojek komplain c yg jawab robot","0"
"tumben bayar cicil paylater saldo udah pakai sistem ganggu trus udah beberapa hari heran gojek paylater sekarang jelek sekali mana denda telat hari udah ribu baik biar guna gojek nyaman","1"
"sangat bantu sekali","1"
"makin sering dipake makin ilang tuh diskon hemmmm","0"
"mantap","1"
"terimakasih jadi yg baik","1"
"posisi navigasi jalan padahal gojek drivernya titik jemput","0"
"bagus cepat","1"
"tipu","0"
"ok","1"
"moga gopay pinjam","1"
"bilang seluruh team tagih nya gak usah lah hubung orang bukan pinjam layan gopay pinjam nya kasihan kalian bentak gak tau apa bro nunggak sekali bilang udah x besok lusa bayar lama aplikasi terinstal hp arti niat tipu usaha pasti bayar siap hilang nasabah setia kalian karna sangat kecewa sekali ibu kalian bentak lewat telpon","0"
"bagus","1"
"ahahaha gblk","0"
"gopay latter memcekik bunga besar banget telat hari rb lebih hari rb total rb hari telat kena denda tunda bayar ampe hari depan karna denda tetap rb jadi dgn jadi ajar galbay","0"
"top gojeg","1"
"sagat baik","1"
"bantu sekali ada goshop sekarang me dulu perlu rumah pa tugas luar kota pesan toko apa rumah sekarang susah gojek kembali fungsi penuh butuh rumah kapan","1"
"udah nunggu lama lama malah cancel ama drivernya","0"
"aplikasi konyol mau hapus akun aja ribetngak tunggak paylatter kok suruh bayar sontoloyo akun blokir konyol","0"
"sangat mudah nyaman","1"
"rasa bikik susah mau sen foodride buka mata lebar lebar biar jelas tau apa mau ctm","0"
"mantap banget bnyak promony","1"
"aneh jarak jemput driver nya jauh banget dah gitu makin cek makin naek harga food nya dong biaya lain aja kayak dulu biar pake voucher nya asa potong","0"
"usaha rampok","0"
"sebenernya male gua ngasi bintang gua udah tf x baru tadi sekali x tgl oktober gua udah minta lapor sampe sekarang saldo gua gabalik cok dasar sampah lu gojek balikin kalau apknya jangan mau pake apk ngasi tau aja nyesel mending apk bukan ngejelekin fakta gua banget masa iya gua saldo gasampe sama terima pliis jangan download ni apk makssi","0"
"good","1"
"dukung produk lokal anak anak bangsa","1"
"ribet banget bayar paylater nya","1"
"akun lama gak dkasih layan paylater","1"
"gopayletter kasih limit pakai ga bisaaplikasi jelek","0"
"baik lagibagaimana customer tahu posisi drivertolong map nya","0"
"good","1"
"promo makin ga","1"
"knp kl driver nelpon gaada notif angkat tlf nya suara aja gmn b angkat","1"
"mantap gojek","1"
"percaya naik krl pake gojek eh waktu dada gabisa buka go transit nya tinggal kereta akhir udah pake aplikasi","0"
"mau kirim uang sampa paylater knpa ngga bsa updatea ko jdi buruk","0"
"terlalu mahal","0"
"kerja bagus","1"
"lama maka gojek bom pernah masalah","1"
"ga bayar gopay cokkk","0"
"saldo gopay potong langsung isi top up transaksi belum padahal transaksi sebut bayar link aja","0"
"bagus","1"
"brilliant app","1"
"moga lancar aman","1"
"terlalu banyak iklan sangat ganggu","0"
"gojek makin lama makin mahaludh ngerih x ongkos ny driver motor ny banyak yg sesuai jadul jadulin driver cantik cantik motor ny murah","0"
"toop","1"
"mantcaappp","1"
"gojek nego os mikir driver nya segala nego hargabukan mensejatrakan driver malah bikin sengsarapotongan argo ribu terima driver tolol gede bangetkata nya anak bangsa rusak anak bangsa","0"
"gojek error","1"
"bagus banget up per item gofoodnya mahal banget","1"
"makasih tetap beri diskon lebih pilih gojek banding warna hijau satu","1"
"gopaylater nya buruk banget sekarang makin jelek udah bayar tagih full trs limit ga b pake buat pulsa token gofood tokped lah terus tuh limit mau apain ga jelas","0"
"punten gojek baik hati kalau tari jangan lewat bca soal bca ku lgi eror mana saldo gopay ku","0"
"senang pakai gojek","1"
"aplikasi suka ngebug tiba pa bgt lg denting order makan kendara order makan susah bgt cancel padahal restonya lama bgt buat makan","0"
"okmantap","1"
"ok","1"
"gojek pernah kecewa","1"
"aman tepat waktu harga jangkau","1"
"aplikasi diupdate malah bapuk susah bnr buka","0"
"yuk promo nya","1"
"kecewa banget ma apk padahal aku udah ganti no hp baru kok gk masuk akun yg lama trus aku arah buat akun baru akh","0"
"gw punya akun lama pa gw logout trus login gak masuk malah tulis akun udah daftar akhir bikin akun baru malah beku kocak","0"
"baik terimasih atas fasilitas gopay later nya","1"
"ok","1"
"oke oke jaya jaha","1"
"mantap","1"
"mantap","1"
"alhamdulillah","1"
"mantap","1"
"mudah cara pakai aman banyak promo","1"
"ok","1"
"gopay pinjam ku selalu tolakpadahal data lengkap aju beberapa x tolak tetus","1"
"heyyyyy gimana mau bayar tagih gopay pinjam besok kena denda responnnnnnnnnnn bikin ribet mulu gimana kali kerja menu bayar susah cari untung ketemu baharu data udh ambil gopay pinjam tp gilir bayar bingung menu klik gopay pinjam langsung ga akun prose verifikasi mulu","0"
"respon c lama banget cuma kasih jawab yg sama selesai prose batal pesan karena resto tutup gabisa batalin pesan sendiri driver udah jadi korban buat jauh datang resto yg udah tutup kustomer rasa rugi segi efisiensi waktu","0"
"bagus","1"
"ok","1"
"drivernya ramah mau putar balik","1"
"the best deh pokok","1"
"mantap","1"
"awal suka banget pakai gojek benar bantu banget apa banyak promo makin kesini makin gak banget jadi sering telat gara sikap driver kurang tanggung jawab sering jadi driver ambil order lokasi driver lihat map malah makin jauh lokasi jemput padahal konfirmasi chat suruh tunggu tunggu lebih menit hubung driver jawab ntah knp driver byk yg gitu","0"
"ok","1"
"ni aplikasi si biasa gapapa gua mau central park malah cencel x padahal driver udah bilang tunggu masa iya udh bilang kek gitu tiba cencel bad bgt","0"
"updatetan baru suka sih","1"
"aneh ngasih limit pinjam gopay pinjam pa mau minjem tolak pernah dipake ngapain ngasih limit buat pajang doang","1"
"gopay pinjam sya dong aktif","1"
"saran aja buat temen jgn beli paket goplus jangka panjang krn kalau udah beli gojek pelit kasih voucher jd konsep bisnis picik gmn gitu jd beli yg jangka pendek voucher baru beli gitu","1"
"stay grab kalo hujan ongkir food mehong","0"
"bgs sih","1"
"sopan","1"
"aplikasi nya buruk sekali driver nya berani korupsi uang","0"
"bagus","1"
"mqntab","1"
"trus maju dah","1"
"gojek anjiiing udah mahalll kadang eror metode bayar cash pdahal saldo banyak anjinggg anjingg","0"
"transaksi menungguseharian ga terkirimgopay payahrespon jelek","0"
"sedih bgt pdhl pa mau order sen uda cek jga cuma tbtb pa pak nya datang jdi sih eror nya malah nambah order untung duitny kalau gaada kan bingung moga baik lgi","1"
"transfer gopay bank hsbc bank ekonomi gagal trus","0"
"terima kasih tani harihariku kerja lama tahun","1"
"jauh puas sm layan gojeksemoga makin tingkat lg","1"
"gojek mobil serasa punya mobil pribadi trimakasih gojek tranfortasi nya moga sukses makin depan","1"
"gw kasih bintang satu gojek tolol babi suka banyak iklan tolol gojek kaya babi","0"
"gopaylater tiba gak pake padahal gk pernah telat bayar kecewa","0"
"makin lama n kesini layan gojek dlm tangan masalah dgn ala yg tdk msk akal n aneh sy sdh kecewa smp detik aja akun gopaylater sy aja msh nonaktif jd buat apa sy guna aplikasi lg n sy sdh ngga minat bahas lg","0"
"bagus","1"
"mantyllll","1"
"mantap","1"
"mantap","1"
"aplikasi baik","1"
"bagus","1"
"favorit langgan","1"
"bayar gopaylater ga pake gimna si","1"
"parah sekarang gofood diskon ongkir doang ga kayak dlu banyak diskon gofood kalau saldo gopayku udah habis ku uninstall alih aplikasi aja","0"
"padahal update pake go paylater nya","0"
"it kojek tolol tolol semua apa masa nganter gosend nya driver yg jarak km sini driver yg nongkrong anggurin kasi driver nya it tolol nya pecatin semua aja","0"
"bagus sihtapi limi paylater gx gunakanuntuk bayar listrik beli token listrik beli pulsa kuota pakai payletter lagipada update","1"
"mantap","1"
"sampah","1"
"oke","1"
"sangat bantu","1"
"ok","1"
"cepat drivr ramah n murah","1"
"good","1"
"gocar sangat kecewa kali order semua problem mulai mobil nya masalah driver yg tolak padahal urgent sangat kecewa baik sdm driver nya","0"
"bantu","1"
"responnya cepat driver antar ramah","1"
"sering ngasih promo","1"
"bagus","1"
"aplikasi gk pake","0"
"bergunaaa bangettt sukaa","1"
"bagus smuanya bagus","1"
"kenyang","1"
"mantaprekomen","1"
"puas banget karna bantu aku yg rumah pelosok susah dapet ojek skrang sen lngsung jemput kalo jangan firur nego karna kasi drivernya","1"
"ok","1"
"sangat bantu mau pergi pi lg gk kendara","1"
"kok klau order susah dpat driver nyaapa layan gofood nya gojek lamakok jelas","0"
"sangat bantu terima kasih","1"
"gopaylater guna pt mab buruk layan nya","0"
"sangat bagus","1"
"ngasi driver jangan jauh tololkasian driver nya padahal driver dekat banyakdasar it gojek abal abal","0"
"sangat mudah sempat masak","1"
"lebih mudah mau ken jajan","1"
"keren","1"
"limit gopay latter guna","0"
"udah masuk pin benar bilang salah suruh coba nunggu jam lebih bisaudh aju lapor bilang ga masalah jelek banget layan gojek gara gara lu ga sempat beli tiket close gw kasin bintang","0"
"gopay guna apa","0"
"adu kait layan sangat lama tanggap nya soal paylater tiba gak pake gojek paraaah","0"
"apa apa gojek udah kayak maling aja saiamau beli kuota ga mau tf rekening sndri pke upgradediupgrade gagal maen bikin atur tp nahan uang org","0"
"sekarang banyak promo kayak hijau belah","1"
"neng ketemu driver baik bgt","1"
"terimakasih","1"
"bagus sekali aplikasi sangat bantu transportasi","1"
"kakean ita bgst","0"
"aplikasi gojek bantu sangat butuh lapar kendara langsung pesan lewat go food tunggu lama antar depan rumah","1"
"ok","1"
"kasih opsi spy chat duluan resto opsi upload foto makan ulas","0"
"ok","1"
"tambah biaya jasa aplikasi segala","0"
"good experience with gojek","1"
"customer belagupake tarif hemat aja sok tarif yg naik orang tumpang bego apa tolol kayak gitu sen minta cepat tp pake gocar hemat yg jemput km siapa yg mau ambil ordrean kayak gitu lol tolol","0"
"ok","1"
"aplikasi baharu mesan menu nya","0"
"ongkirnya mahal","1"
"bayar gopaylater limit guna kalau begini retail percaya gojek maupun tokopedia goto gojek selektif pilih mitra mab menu gopaylater hubung via gmail pihak mab jawab ambang beri solusi lebih baik kemarin tagih gagal bayar","0"
"mantap karya anak indonesia","1"
"datang mau ambil jamin suami kok sulit begini datang dr pagi kt security kantor gojek kemang karyawannya lgi siap pdhl ud jam suruh nunggu waktu panggil bagi ambil atribut suruh nunggu lg jam jam bilang sekuriti datang lg bsk krn karyawan bagi ambil jamin lg kantor petojo apakh karyawan ambil jamin cuma org utk kantor gojek yg besar mau nunggu ampe siang suruh bsk ama skuriti karyawan tsb ngak balik lg","0"
"good","1"
"mudah bepergia","1"
"okey","1"
"transaksi gopay later ganggu bantu nya","0"
"ok","1"
"good job","1"
"gopaypinjam luna tp knp ga tarik tunai suruh tunggu x jam pdhl udh lebih dr hari ga pake","1"
"mantap","1"
"lebih murah","1"
"keren","1"
"makin mantap lengkap nya transfortasi makan bayar all transf pinjam semua gampang satu aplikasi alhamdulillah katagori juragan","1"
"aplikasi mudah guna ui nya mudah paham","1"
"sangat baik nyaman","1"
"titik jemput koq sekarang ga yg pa bikin ribut sama rider nya pa klik manual ga data","1"
"ok","1"
"kecewa sama gojek isi saldo hari masuk","0"
"joss","1"
"turun bintangnyasemakin kesini makin kurang memuaskanpunya gopaylater ga guna ala guna akun padahal belum lancar sajabaru mulai awal bulan digunakangopaypinjam awal pinjam habis gitu ga pinjam ala aju belum tolak padahal aju belum acc","0"
"top","1"
"sulit me daerah tmpt","0"
"barang kirim cpt sampai mksh","0"
"mantappp","1"
"very good","1"
"cepat amanah","1"
"good","1"
"so far gojek so good","1"
"semenjak ganti pt debt contollector annoying disturbing spam call spam message ganggu tenang orang padahal dulu buruk sekarang worst terror","0"
"payah sejak pindah mab gopaylater gw malah gabisa dipake sama sekali kesell bgt percuma gopaylater gabisa dipake kecewa parah sm gojek skrg dulu ga pernah masalah skrg malah begini","0"
"gojek the best","1"
"mohon hapus iklan gojek","1"
"lebih percaya","1"
"sangat bantu ada app gojek","1"
"jalan mudah gak ribet","1"
"pake gojek udh jaman nya skrng make udh smpe thn mau ketemu mantul jaya trs","1"
"aplikasi sangat bantu","1"
"aplikasi paling busuk","0"
"moga manfaat","1"
"kadang titik jemput sesuai map","0"
"aku tunggi gojek makin kerenakhirnya goride antas wilayah lebih km terimakasih gojek kamu tau aku mau","1"
"good","1"
"sangat bantu pribadi yg g bw motor sendiri","0"
"makin lama cari driver padahal driver banyak","0"
"cuma dipake kalo ga punya cash aja cek voucher sering gagal alesan server padat pelit","1"
"order goshop selalu dapat gosend goride cepat sekali dapat layan goshop bagus sini","0"
"saran pilih peta yg default yg satelit soal kalau satelit taruh titik jemput drop lebih akurat terima kasih","1"
"driver kl gak siap ambil pesan jangan sekali kali aktif kan autobid alam unik jd gagal check in bandara","0"
"sangat bantu bagi ibu rumah tangga","1"
"sangat bantu top bgt","1"
"dear gojek kalo isi gopay pakai pulsa biar enak","1"
"bonus buat driver adakan kt driver","1"
"driver sulit titik nya","1"
"mau jalan ato makanbayar beli online gampang aplikasi gojek yg serba simplel","1"
"update baru malah gk liat drivernya pa sen gofooddrivernya jalanin aplikasih ojek online anter sen orng laen kan kita jadi gk taumaunya kaya dulu dong liat posisi driver dmna pa baru dpt drivernyabiar bsa pantau","0"
"ok","1"
"mantull","1"
"gak pantau posisi driver nya pa pesan go food","0"
"mantap","1"
"internet sambung jelas jelas sinyal mbps apk aneh eror mulu","0"
"gimana padahal masuk pin benar malah blokir man gak buat transaksi","0"
"selalu bantu sukses selalu","1"
"mantap","1"
"aplikasi aneh kalau sering pakai buat bayar semua promo langsung hilang kaya langgar atur padahal buat bayar normal sesuai perlu tadi pakai gojek go transit linkaja jadi sekarang mah sekarang alih grab buat ojol order food","0"
"biar bintang yg suara","1"
"nga tau akhir akhir tiap mau sen go food selalu nge crash buka tutup app baik sistem bayar gopaylater masalah mau me kalau fix ubah review","0"
"mantep","1"
"mode hemat ga utk gofood dasar tipu gua uda cek kala lo pikir gue bodoh pilih langgan ma bela diri ni gue uninstall yg lbih pantes sm rating enak sndri mainin orang sm gopaylatercicil waktu tinggal cicil malah laman bayar blokir gilir uda denda sampe rb baru dimunculin lg laman bayar gue bakal doain yg buruk utk buat lu ga bakal gue ikhlasin duniaakhirat nnti","0"
"yg kurang sihsaat jemput g sesuaikadang jauh titik jemput","1"
"terbaikkk","1"
"respon adminnya pa komplain lama pesan kurang udah kirim foto struck sama riwayat pesananyya abis beberapa jam pa udah makan minta foto makan udah habis lah","1"
"good app","1"
"aplikasi sangat bantu terimakasih gojek","1"
"aplikasi driver nya ketat verifikasi muka verifikasi kendara sama dgn tera aplikasi jaga aman soal pesan driver buat jemput anak beda wajah takut bagi joki sebut bahaya selamat pinjam lebih baik jangan pinjam kalo male lebih baik pm niat bantu bukan cara bahaya plang banyak aplikator terima lowong driver","1"
"banyak promo nya","1"
"mantapp","1"
"lama mengunakan gojek aman aman aja","1"
"okdeh","1"
"ga plexsibel cerita gw senin temen arah pakubuwono residen gorcar langsung potong saldo gopay temen belum sampai pak lewat pondok cabe perlu cirende tambah biaya tuju malah hitung kilo rb tol rb bilang pakubuono selesai order menang banyak tuh driver nya","0"
"ok","1"
"manta gojek sukses selalu","1"
"sopir ramah sopan","1"
"cepat ga ribet","1"
"moga makin tingkat pelayanannyatolong perhati sejahtera driver nya","1"
"update versi baru malah eror mau bayar lalu gopay ganggu sih update baru","0"
"nyaman cepat rapih ramah","1"
"bagus terima kasih","1"
"gapapa sendiri kan gojek guna baru yg pake kode voucher gojekfatimah gojekcampus dapet diskon sampe k","1"
"gojek nyaman kok kasi diskon pilih kasih kalo cash gada diskon pake go pay banyak diskon sama dapet diskon kan sama uang please kendepannya sama diskon nya yaa terimakasih","1"
"ok","0"
"makin kesini makin kocak henti jadi langgan prioritas gofood","0"
"akun gak login pafahal no hp lamavmsh aktif","0"
"biaya layan gratis kan harga makan","0"
"sampahribet","0"
"moga berkah","1"
"sering kali eror aplikasi sekarang kadang restoran tutup oderan masuk","0"
"capeek cari layan bantu aplikasi limit gopayletter nya tp tdk b pake respond nya gak jelas","0"
"driver nya gila sihudh mah ga sopan ngomong nada tinggiemosiga tau map gue mesen minum ga jauh lokasi gue km alamat pa sesuai titikmalah gue jelasin chat driver nama alamat gue eh malah tau liat map nya muterpas nyampe malah marah ga jelas padahal sendiri lamain udh kasih tip rb eh malah maksa minta tip lewat gojekdan minta rb ganti uang bensin wkwkwpadahal sendiri beo","0"
"burik top up gopay driver gak masuk lama mending aplikasi belah","0"
"mantapp","1"
"good job","1"
"lunasin gopay laterknp yg nagih via wa udah gitu gopaylater nya udh ga pake lagikecewa bangetpadahal udh jadi langgan lama aplikasi","0"
"jelek suka gangguansaldo hilang aja ga responaplikasi hilang saldo","0"
"titik jemput sama lokasi suka beda padahal tera tulis lokasi jemput a titik jemput nya b yaa baik soal kena semprot drivernya gara padahal jelas tera lokasi jemput a jelas salah aplikasi bukan salah","0"
"oke","1"
"moga aku pake gopay pinjam aku langgan setia lama gojek","1"
"ko ngeleg aplikasi udah hapus download aja sama","0"
"ok","1"
"buka gojek gofood sistem sibuk mulu padahal aplikasi udh update versi baru jaring lancar buka apl jalan padahal butuh nya","0"
"baru isi saldo lewat bank bni kata lngsung transfer gopay tabung pa d cek saldo malah saldo","0"
"aplikasi makin kacausemenjak pegang mab makin ga jelas payletter ga dipake mending gojek dulu meski fitur ga terlalu banyak tp lancar jaya","0"
"sering stack ga uang","0"
"baguss sesuai ekspektasi","1"
"mantab kendali","1"
"gak sen dgn metode bayar paylater tokpedia gk pdhal gk pernah telat bayar tiba email bahwasannya akun pakai gopay later makin kemari makin aneh si ijo laler jadi kemarin pakai apa klo gopay later kalian cek disystem kalian history pakai kecewa kali layan gojek lama merger kalau gk ksh bintang uda ku ksih bintang utk layan kalian","0"
"terimakasih banyak atas aplikasi sangat bantu","1"
"burikkk","0"
"kecewa mau ganti nomer hp aja lama bangett aplikasi anak bangsa tpi klo alih","1"
"sangat mudah guna nya saran wilayah semarang barat lurah nya mohon update map nya beberapa lurah nya yg tepat","1"
"muantapp boss","1"
"sangat bantu","1"
"gak","0"
"gimana sih top up gopay kirim tabung jago nya lama mana mau buat sen gofood gajelas","0"
"nyaman produk negri","1"
"gopay gx jelas top up lewat indomaret malah masuk tabung udah gitu gx pake tp","0"
"ok","1"
"makin ngga jelas up date nya makin sulit solving problem lebih sering jadi pihak yg rugi","0"
"top up saldo udah masuk pake kaga ribet gara gara gopay tabung jadi saldo nya ga tau gimana in mau pake ga tf apa","0"
"sangat bantu mudah transportasi terimakasih","1"
"top","1"
"good","1"
"lapor top up selesai","1"
"update baru gojek makin kesini sering masalah mana erorr terus map nya butuh bantu masalah terimakasih pake mapsnya rubah rating bintang","1"
"baik","1"
"aplikasi jelek gopay leter pakai gopinjam acc aplikasi jelek","0"
"tanggap nya bantu","0"
"bagus kalau lapor keluh nasabah tindak cepat arti udah profesional","0"
"sangat mahal mahal","1"
"uujbv","1"
"gopaylater ga guna","1"
"luar binasa platform gede gojek top up saldolewat bank saldo udah potong saldo gak masuk udah chat admin gak d respon kirim lapor gak respon tolong kondisi segera","1"
"paylater busuk telat hari denda nya padahal pinjam nya cuma","0"
"sebel isi saldo gopay banyak pa butuh buat transfer balik kerek malah eror terus biaya adminnya jg mahal kacauuuu","0"
"aplikasi taikkk aplikasi goblokk temen ngirim gopay riwayat suksea saldo gopay nya ga cuihh","0"
"kecewa akun tibatiba nonaktif permanen habis top up gopay kemudian beri bijak apa","0"
"gila banget nih aplikasi install kali gak bisabisa ngehe banget","0"
"naoo","1"
"bikin fitur blokir driver driver yg kurang etika ulang","0"
"banget","1"
"saldo hilang sendiri beli wajar terus terus hubung customer service asik suruh tunggu tunggu trus muter muter ngk jelas","0"
"layan sejau bagus pake aplikasi gojek sejak san","1"
"lanjut mantap sukses","1"
"ribet kalo cancel pesan gara resto tutup driver minta cancel order mungkin antisipasi fake order alternatif nya gak resto yg cancel orang laper keburu pinsan saldo tahan","0"
"aplikasi sangat guna waktu sangat desak","1"
"ok","1"
"keren","1"
"mudahcepatdan jamin","1"
"bagus","1"
"respon cepat","1"
"ngasih diskon persen bata jam sama dg batasin jam makan langgan","0"
"semua bayar makin mudah listrik air paket data pulsa satu genggam terima kasih gojek","1"
"upgrade kali ni banyak gk nyamakin ribetsaya gk ngirim uang saldo nya gk nampak tulis masuk tabungansama sekali gk ngirim uang sumpah nyesal top up gopaymakin banyak fitur gk nyamakasi","0"
"notifnya baik kak tiap aku pesan gofood restonya maupun driver chat perihal pesan notifnya ngga kasihan kalau orang tunggu balas chatku aku ngga sadar terima kasih belum","1"
"order gofood wilayah pesanggrahan jakarta barat customer bayar ongkir k tpi yg masuk driver cuma k potong nya luar biasa","0"
"gopay gw sisa jt blokir emang gopay tuh g jls riport aja semua nih apk gak guna gak tau orang butuh sma org kaya apa yh","0"
"ok","1"
"so far so good","1"
"mantap","1"
"minta gps lom sesuai alamat baik bag y t sbleh titik gps pa sesuai alamat guna aplikasi kasi driver antar cek manual dng custumer kasi cuatumer pakai fitur goride ato gocar sering pa alamat rumah terima kasih","1"
"kok sekarang lama masuk saldo padahal top up dah tadi","1"
"good aplikasi","1"
"ngebug apa gimana sih dapet driver orang malah ngepickup orang dichat tlp ga respon benahin deh","0"
"promonya ra mau daerah kota doang","0"
"aplikasi ngelag anjj","0"
"jauh oke lah","1"
"sabar kurir tunggu","1"
"mudah klo g yg jemput solusine yo ngojek rek","1"
"mantap","1"
"layan bagus","1"
"mahal banget harga hampir kali lipat lebih mahal apk","0"
"gojek sya tidk download install lahh perlu udh hapus simpan tetap gabisa install perlu jdi mohon","0"
"bosok njing","0"
"bagus skali","1"
"sukses selalu","1"
"aplikasi kasih alam harga","1"
"aman nyaman mudah fiturn nya keren","1"
