userName,score,at,content
Soipi Istafa,5,2023-11-08 06:49:16,Sangat membantu
24. Naurah Aurellia N.,3,2023-11-08 06:43:10,"mahal banget, diskon dikit"
Ipan Silaen,1,2023-11-08 06:33:13,Makin ke sini bukan makin bagus malah makin jelek
Humble Cat,1,2023-11-08 06:27:28,"Mending pindah grab aja dah, promo foodny banyak. Ini akun gojek saya gada promo foodny sama sekali jdi percuma langganan gofood+. (n) memberi dislike"
amrull,1,2023-11-08 06:25:26,"Gak bisa melakukan pembayaran, tertulis ""gak dapat sinyal internet"""
Wati Wirohadi,5,2023-11-08 06:24:39,"Servernya payah, apply paylater ditolak terus. Selain itu tdk ada layanan care."
Programmer Pro,5,2023-11-08 06:23:24,Teknologi Buatan Indonesia
Sayyid Alhambra,5,2023-11-08 06:21:02,Terbaik
muhammad azhari,5,2023-11-08 06:09:49,Mantab... Pesan makan gk usah keluar rumah..
Satria Winata,1,2023-11-08 06:09:38,Klo bisa kasi bintang minus buat aplikasi ini sy kasi minus. Driver bnyak nganggur tp sy tdk dpt2 driver
Muhammad Iqbal123,5,2023-11-08 06:06:26,Suka banget pake gojek yg gofood soalnya menolong bgt kalo lagi laper
Mia Audina,1,2023-11-08 05:51:39,No comment
Gojek Rider,1,2023-11-08 05:51:13,Aplikasi ga da Otak... Dunguuu...
Pengguna Google,1,2023-11-08 05:43:43,updatenya jelek
Karin Yuvi yani,5,2023-11-08 05:36:05,layanan nya bagus
Erin Nur Lestari,1,2023-11-08 05:33:11,Tidak akan pernah pesan gocar lagi. Karena driver tidak sopan dan tidak ramah. Apapun kondisi penumpangnya seharusnya bisa profesional.
Mardan Dadan,5,2023-11-08 05:30:49,"Tetap yg terbaik, angkut barang pakai GOBOX lebih mudah , driver nya berpengalaman"
MUTHIA ZALIANY,5,2023-11-08 05:08:49,Bagus memudahkan
Dedeh Supriatin,5,2023-11-08 05:02:36,Mantap
Achmad Fauzi,5,2023-11-08 04:57:21,Sangat membantu dan ber manfaat bagi pengguna nya
Sahabat Play Gaming,5,2023-11-08 04:54:19,"Sangat membantu diamana pun anda membutuhkan, the best buat aplikasi ini"
Togar Sianturi,5,2023-11-08 04:53:10,Harga jgn mahal mahal min.
aryk danoe,5,2023-11-08 04:49:47,Mantabs pokoknya
Agus Multimedia Nganjuk,3,2023-11-08 04:48:16,Docoba dulu
Muhammad Juniyanto,1,2023-11-08 04:26:06,"Saya kecewa dengan gojek, saldo saya tiba tiba hilang dari tanggal 14 September 2023 dan sudah dapat tanggal pengembalian 21 Oktober 2023 , kenapa saldo saya belum anda proses kan, itu saldo 3juta, tolong saldo saya jangan anda gelap kan, kembalikan saldo saya"
Dhava Ramdhan,1,2023-11-08 04:25:19,Gabisa transfer bayar qr kalo gapake wifi
Mael Yamani,5,2023-11-08 04:22:34,Sangat memmbantu
Bintang Rezki Fatilah,1,2023-11-08 04:20:53,Promonya apaansih 1rb melulu mangkin ga jelas
MUHAMMAD IMRON,3,2023-11-08 04:03:18,"udah bayar tagihan gopinjam, saldo rekening sudah terpotong tapi tagihan di bulan November masih belum terbayar. 2 kali saya bayar terpotong 2 kali di bulan November ini, trus uang saya transaksi yang pertama diambil siapa min?? kemana sy harus konfirmasi dan bertanya?????"
Andi Andi,5,2023-11-08 03:58:14,Drivernya handal dan cakap dlm bekerja
Sebrina Septiani,3,2023-11-08 03:47:15,"Agak kecewa udh beberapa hari ini gabisa pakai gopaylater nya, padahal ga pernah telat bayar tagihan"
agus pudjomindarto,3,2023-11-08 03:44:57,tidak ramah
Dicky Saptiadi,5,2023-11-08 03:44:14,Puas bikin semuq pasti qda jalan
romensius kuleh,5,2023-11-08 03:40:30,Top
Ucok Situmeang,5,2023-11-08 03:34:15,ok
Nur Hazizah,5,2023-11-08 03:28:36,cepat dan lancar
Siti Maesaroh,2,2023-11-08 03:22:30,Kenapa gopaylater saya tidak bisa di gunakan
Daeng Donna Sakkapati,5,2023-11-08 03:20:23,Ok
Ade Wirzal,1,2023-11-08 03:18:30,Buruk
Bening Purwadi,5,2023-11-08 03:16:34,Oke
Andi yunus,4,2023-11-08 03:10:05,"Saya belum sepenuhnya menggunakan aplikasi ini, tapi semoga saja nggk ada masalah."
Hizkia Gumolili,5,2023-11-08 03:09:55,Nice
Edho Sardo,3,2023-11-08 03:09:33,Kasih tiga dulu
alfinqu simpati,5,2023-11-08 03:06:04,Josss bangett
Raihan Fadillah Fauzi Pratama,5,2023-11-08 03:01:14,aplikasi gojek ini sangat membantu aku
licik raimu,1,2023-11-08 02:56:35,Makin lama makin gk ngotak
Indra Permana,1,2023-11-08 02:42:26,Gopaylater sejak ganti ke MAB dr kmrn mau dipake tulisannya gangguan Mulu. Udah DCnya kalo nagih ga ngotak. Pdhl bulan sblmnya lancar2 aja.
Anggara Ihza Hunafa,5,2023-11-08 02:33:13,Good apk
hendra wijaya,5,2023-11-08 02:28:59,Mamtap
Miss Dina,5,2023-11-08 02:20:44,Keren lah
Afit ZzZzZz,5,2023-11-08 02:03:22,Akhir akhir ini Banyak promo yang tidak sesuai
Lia Cute,1,2023-11-08 02:02:28,"Makin GK jls gojek,dari semalam sore transfer rekening masa sampai skrg tidak masuk"
Def Defray,1,2023-11-08 01:56:10,email gojek berisi spam gk menyelesaikan masalah
Silma Chairun nisa,4,2023-11-08 01:54:35,So far bagus kok.. banyakin promo dong 😁😁
Ran White,3,2023-11-08 01:51:43,"Saya user Gojek dah lama tapi sekarang malah licik permainannya, jarak yang deket dijauhin seperti memutar lebih jauh"
Anggraeni Dhita,5,2023-11-08 01:45:59,"Seneng bgt pake apk ini lebih mudah gk pake ribet, mudah2 an tetep seperti ini ya"
Shinigami Amrods,5,2023-11-08 01:44:37,👍
AbahAjur99,5,2023-11-08 01:36:47,Mantap
Sumin Sumin,1,2023-11-08 01:36:38,aw]]9****ZZZZZ
Anoy Fitriyani,2,2023-11-08 01:35:38,"Jujur baru kali ini saya kecewa dengan gojek, padahal saya pengguna lama dan setia riwayat sy juga bagus bahkan level sy sdh Sultan, entah kenapa sdh 2bln ini gopaylater sy tdk bs digunakan semenjak beralih ke MAB, sdh beberapa kali sy tanyakan dan jawabanya ""tdk ada kendala, namun masih blm bs digunakan"" Menunggu pemberitahuan.. Padahal dulu semua fasilitas sy dapatkan karena record sy bagus dr paylater sampe go pinjam, namun sekarang semuanya tdk bs digunakandigunakan,kecewa bgt"
Sam Siyah,5,2023-11-08 01:31:00,Gopay is the best
Ciptaadi Adi,1,2023-11-08 01:25:06,"MAKIN LAMA MAKIN GAJELAS,TELAT SEHARI GOPAYLATER DENDA 50K TRS SETELAH DILUNASI GABISA DI PAKE LAGI.GA RECOMMENDED PAKE GOPAYLATER WKWK."
Shara Istiani,5,2023-11-08 01:23:59,Kenapa ya gopaylater saya ngak bisa di gunakan padahal baru di bayar tidak pernah telat.. Bacaannya opp ada sedikit gangguan. Mohon bantuannya
Abdul Safar,5,2023-11-08 01:12:01,Bagus
Tri Gunarso,4,2023-11-08 00:48:54,Ok
calista Liang,5,2023-11-08 00:47:56,baik bngt
Wahyu Diah,2,2023-11-08 00:40:52,saran buat gojek perbaharui aplikasi driver dengan memastikan bensin minimal 3 batang
Mumu Mupti,5,2023-11-08 00:30:51,Top lah
Harisman Jek,5,2023-11-08 00:23:43,Saya sangat puas dengan apk gojek
Nur Siah,5,2023-11-08 00:21:21,"App local product yang mantap bangett, cuma kadang ada beberapa titik yang nggak ke deteksi"
Bonkris Angie,5,2023-11-08 00:02:57,TOP Bngt
Anjani Nona,2,2023-11-07 23:57:33,"Saya tidak pernah terlambat bayar gopay latter tapi sdh 2 bln ini apk tidak bisa dipakai ,untuk gopay pinjam saya baru sekali terlambat karena ada kesulitan baru 2 hari langsung wa ke kontak darurat dan mengancam ,aplikasi legal tapi rasa ilegal dan sudah mencemarkan nama baik saya sebelumnya saya sangat terbantu tapi kok begini ya perlakuan terhadap pelanggan lama gojek 😞 saya komplain ke cs yg jawab robot"
Aprilia Cahyani,3,2023-11-07 23:50:06,"tumben , sudah bayar cicilan paylater . saldo udah kembali tapi tidak bisa dipakai . sistem gangguan trus udah beberapa hari . heran kenapa gojek paylater sekarang jelek sekali . mana denda telat sehari udah 50ribu. tolong di perbaiki lagi biar pengguna gojek nyaman"
Anggita Yudha,5,2023-11-07 23:40:53,Sangat membantu sekali
Mita Permatasari,2,2023-11-07 23:30:51,Makin sering dipake makin ilang tuh diskon.. hemmmm
Clara Ziyan,5,2023-11-07 23:21:53,Mantap
dwi putro,5,2023-11-07 23:14:42,Terimakasih sudah menjadi yg terbaik
RIFKI AFRIZA ANWAR,1,2023-11-07 23:07:57,Posisi navigasi tidak berjalan padahal gojek drivernya sudah sampai di titik penjemputan
Suryantohardjo@gmail.com yanto,5,2023-11-07 22:25:52,"Bagus, cepat"
Abdul Budiman,1,2023-11-07 21:34:02,Penipuan
Risna Wati,5,2023-11-07 20:55:45,ok
any “any” rania,4,2023-11-07 20:50:20,semoga bisa gopay pinjaman
moh. nur hanafi,1,2023-11-07 20:44:33,"Tolong bilang keseluruh team penagihan nya, gak usah lah hubungi orang lain yang bukan pinjam layanan gopay pinjam nya, kasihan mereka kalian bentak2, mereka gak tau apa bro, nunggak sekali bilangnya udah 2x, besok atau lusa pasti saya bayar, selama aplikasi ini masih terinstal di HP saya berarti tidak ada niatan untuk menipu perusahaan anda, saya pastikan saya akan bayar, dan siap2 kehilangan nasabah setia kalian, karna saya sangat kecewa sekali ibu saya kalian bentak2 lewat telpon"
Dasmanta Putra,4,2023-11-07 20:44:32,Bagus
Fikri Ramadhan,1,2023-11-07 20:30:50,Ahahaha gblk
Iqbal Likhaira Anwar,1,2023-11-07 20:08:33,"GOPAY LATTER MEMCEKIK. BUNGA BESAR BANGET! TELAT SEHARI 50RB, LEBIH 7 HARI + 30RB TOTAL 80RB 8 HARI TELAT. JIKA SUDAH KENA DENDA TUNDA SAJA PEMBAYARAN AMPE 30 HARI KEDEPAN. KARNA DENDA TETAP 80RB. DAN JADI DGN KEJADIAN INI MENGAJARKAN UNTUK GALBAY !!!"
Deden Ruslandi,5,2023-11-07 19:57:59,Top gojeg
Amar Bayu,5,2023-11-07 19:42:14,sagat baik
Afifah Alfaizi,5,2023-11-07 19:33:17,Terbantu sekali dengan adanya goshop. Tapi sekarang tidak bisa memesan dimana saja. Dulu ketika ada keperluan di rumah pas tugas ke luar kota saya bisa pesan ke toko apapun di sekitar rumah. Tapi sekarang susah. Tolong gojek kembalikan lagi fungsi itu agar saya dapat memenuhi kebutuhan di rumah kapan saja dan dimana saja.
FAHRUL 006,1,2023-11-07 18:38:24,Udah nunggu lama lama malah di cancel Ama drivernya
Mohammad Cholevi,1,2023-11-07 18:09:51,"Aplikasi konyol mau hapus akun aja ribet,ngak ada tunggakan paylatter kok disuruh bayar sontoloyo dan akun diblokir konyol"
Deni Tubayani,5,2023-11-07 17:57:54,Sangat mudah dan nyaman
Dedi Marwanto,1,2023-11-07 17:43:30,merasa di bikik susah mau pesen food..ride.. buka mata lebar lebar biar jelas dan tau apa kemauan ctm
Aman Supriatna,5,2023-11-07 17:40:07,Mantap banget bNyak promony
Angel Sus,1,2023-11-07 17:23:58,"Aneh jarak jemput driver nya jauh banget dah gitu makin di cek makin naek harganya, untuk food nya tolong dong biaya lainnya 1.000 aja kayak dulu biar pake voucher nya berasa potongannya"
MOH. ROFIUL AZIS,1,2023-11-07 17:22:35,Perusahaan rampok
Dimas Ardian,1,2023-11-07 16:51:53,"sebenernya males gua ngasi bintang gua udah tf 2x baru tadi sekali yang 1x lagi tgl 16 oktober gua udah minta laporan sampe sekarang saldo gua gabalik cok dasar sampah lu gojek balikin kalau bisa apknya, jangan mau ya pake apk ini ngasi tau aja nyesel mending apk lain ini bukan ngejelek""in tapi ini fakta gua banget masa iya gua saldonya gasampe sama penerima pliis jangan download ni apk makssi"
Agus Salim Ismail,4,2023-11-07 16:43:38,good
Umar Al-faruq,5,2023-11-07 16:32:18,Dukung produk lokal anak anak bangsa
Juan Antonio,3,2023-11-07 16:16:14,Ribet banget pembayaran paylater nya
Hendrik Doank,5,2023-11-07 16:12:35,akun lama tapi gak dkasih layanan paylater
Rani Sa,1,2023-11-07 16:08:00,Gopayletter di kasih limit tapi dipakai ga bisa...aplikasi jelek
Bang Hasby,1,2023-11-07 16:04:57,"Tolong di perbaiki lagi,bagaimana customer bisa mengetahui posisi driver,tolong maps nya"
Rohmat Wahyudi,5,2023-11-07 15:57:55,good
Esa MBF,4,2023-11-07 15:48:43,Promo semakin ga ada
Uripah 15,3,2023-11-07 15:31:00,Ini knp kl driver nelpon gaada notif untuk angkat tlf nya? Hanya ada suara aja? Gmn bs saya angkat?
Speed Cheetah,5,2023-11-07 15:27:25,Mantap gojek👍👍👍
Tora Wasno,1,2023-11-07 15:15:08,"Sudah percaya naik KRL pake gojek , eh waktu itu dadakan gabisa dibuka go transit nya,, ketinggalan kereta , terakhir udah pake ini aplikasi"
Gaming ngapak,1,2023-11-07 14:50:18,Mau kirim uang sampa paylater knpa ngga bsa ini !! Update.a ko jdi buruk
Gatra Management artis,1,2023-11-07 14:50:03,terlalu mahal
Jota TasLim10,5,2023-11-07 14:43:20,Kerja Bagus
Dedi Setiadi (Dedituris),5,2023-11-07 14:42:16,Selama makai gojek belom pernah ada masalah.
XII TKRO 1_ADITYA GALIH PRAKOSO,1,2023-11-07 14:37:34,Ga bisa bayar gopay cokkk
Thomas Nanda Dahana,1,2023-11-07 14:35:01,"Saldo gopay saya dipotong secara langsung pada pengisian top up untuk transaksi sebelumnya, padahal transaksi tersebut sudah dibayar dengan link aja."
Risman Jhon,5,2023-11-07 14:34:39,Bagus
devi meilany nurhasanah,5,2023-11-07 14:33:16,Brilliant app
Bayu Aprilio,5,2023-11-07 14:25:05,Semoga lancar dan aman
Desrina Ptk,1,2023-11-07 14:21:42,Terlalu banyak iklan sangat2 mengganggu !!!!!!!!
Atazz Sholeh,1,2023-11-07 14:16:17,"Gojek semakin lama semakin mahal,udh ngerih x ongkos ny driver dan motor NY banyak yg tidak sesuai dan jadul jadul.in driver cantik cantik motor NY dan murah lagi"
Enung Enung,5,2023-11-07 14:11:15,Toop.
Anwar CobaLamin,5,2023-11-07 14:08:22,Mantcaappp
Bacot Sembilan,1,2023-11-07 14:05:21,Gojek nego ora mikir driver nya.. segala nego harga..bukan mensejatrakan driver malah bikin sengsara..potongan 20 % argo 15 ribu ke terima driver 10400. Tolol gede banget..kata nya anak bangsa tapi merusak anak bangsa..
Ciibontot Fungkyjungky,5,2023-11-07 14:03:27,Gojek saya error
Bahar Diman,5,2023-11-07 13:43:57,Bagus banget. Tapi up per item gofoodnya mahal banget.
Risa Saraswati,5,2023-11-07 13:32:56,Makasih untuk tetap memberikan diskon :) saya lebih memilih gojek di banding warna hijau yang satunya
Lidia Ayu,1,2023-11-07 13:29:55,"Gopaylater nya buruk banget sekarang makin jelek .. udah bayar tagihan full trs tapi limit ga bs di pake buat pulsa, token ,gofood , di tokped.. lah terus tuh limit mau di apain ???? Ga jelas"
M.Rafellino Nauval Izza Muzakki,1,2023-11-07 13:27:58,Punten gojek yang baik hati tolong ya kalau untuk penarikan jangan lewat bca soalnya bca ku lgi eror mana ada saldo juga di gopay ku 😭🌀
Adityas Tararianti,5,2023-11-07 13:26:48,Senang pakai gojek
Reza Anggraini,1,2023-11-07 13:25:45,"Kenapa ya aplikasi ini suka ngebug tiba2 pas bgt lg denting2nya order makanan atau kendaraan, order makanan kenapa ya susah bgt di cancel padahal restonya lama bgt buat makanannya"
Dida Safari,5,2023-11-07 13:24:44,Ok..mantap
King Rey,5,2023-11-07 13:21:09,Ok
mr karjoko,5,2023-11-07 13:17:39,Gojek tidak pernah mengecewakan
cholishoh alba,5,2023-11-07 13:15:32,Aman tepat waktu.. harga terjangkau ..
Rudi Pratala,1,2023-11-07 13:13:59,"Aplikasi diupdate malah bapuk.... Susah bnr dibuka,,,"
Bam Irawan,5,2023-11-07 13:09:43,Yuk promo nya
Lalu Purnama,1,2023-11-07 13:06:27,Kecewa banget ma apk ini padahal aku udah ganti no hp baru tapi kok GK bisa masuk akun yg lama trus aku di arahkan ke pembuatan akun baru akh
yanzz,1,2023-11-07 13:06:11,"gw punya akun lama, pas gw logout trus login lagi, gak bisa masuk malah ada tulisan akun udah terdaftar, akhirnya bikin akun baru malah dibekukan kocak"
Rika Riana,5,2023-11-07 13:02:57,"Terbaik, , , dan terimasih atas fasilitas gopay later nya"
Syamsul Sulkhannudin,5,2023-11-07 13:01:54,ok
SENA MAHENDRA,5,2023-11-07 13:01:19,oke oke jaya jaha
Rantiah Ranti,5,2023-11-07 12:59:40,Mantap
fTH12 fTH113,5,2023-11-07 12:38:19,Mantap
Depri Lianza19,5,2023-11-07 12:32:45,Alhamdulillah
adinda priyanto,4,2023-11-07 12:25:20,Mantap
stevi gosal,5,2023-11-07 12:25:19,"Mudah cara pakainya, aman dan banyak promo"
M saiful Anam,5,2023-11-07 12:17:07,Ok
Narsih Putri,5,2023-11-07 12:12:22,kenapa gopay pinjam ku selalu di tolak...padahal data2 sudah lengkap sudah mengajukan beberapa X di tolak tetus
Ian T-Lay,1,2023-11-07 11:55:03,"Heyyyyy gimana saya mau bayar tagihan gopay pinjam, besok kena denda ini saya!!!!!!! Tolong responnnnnnnnnnn, di bikin ribet mulu, gimana kali kerjanya, menu pembayaran susah di cari, untung ketemu, itu perbaharui data saya, saya udh ambil gopay pinjam tp giliran bayar bingung menunya, sedangkan klik gopay pinjam langsung ga bisa, akun masih proses verifikasi mulu"
Ryuukaito,1,2023-11-07 11:53:35,respon cs lama banget dan cuma bisa kasih jawaban yg sama tanpa penyelesaian pada saat proses pembatalan pesanan di karenakan resto tutup. saya gabisa batalin pesanan sendiri dan 3 driver udah jadi korban buat jauh2 datang ke resto yg udah tutup. saya sebagai kustomer merasa di rugikan dari segi efisiensi waktu
Siswanto 284,5,2023-11-07 11:49:25,Bagus
Aan Yuniarsih,5,2023-11-07 11:48:46,Ok.
Joko suseno,5,2023-11-07 11:48:14,"Drivernya ramah, mau putar balik"
Putri liyana Nazifa,5,2023-11-07 11:46:11,"The best deh, pokoknya..."
GD Moto Vlog,5,2023-11-07 11:45:30,mantap
Fenanda Wonte,2,2023-11-07 11:42:26,"Awalnya suka banget pakai gojek, karena benar2 membantu banget apa lagi banyak promo juga. Tapi makin kesini makin gak banget, saya jadi sering telat gara2 sikap driver yang kurang bertanggung jawab. Sering kejadian driver sudah ambil orderan dari kita tapi lokasi driver dilihat di maps malah makin jauh dari lokasi jemput. Padahal mereka konfirmasi di chat untuk disuruh menunggu. Saya sudah menunggu lebih dari 10 menit tapi saat dihubungi driver tidak ada jawaban. Ntah knp driver byk yg gitu"
Ferdial Ferdial,5,2023-11-07 11:37:40,Ok......
aulia dwiar,2,2023-11-07 11:36:21,"Ni aplikasi kenapa si biasanya gapapa tapi ini gua mau ke central park malah di cencel 3x padahal driver udah bilang ok di tunggu masa iya udh bilang kek gitu tiba"" dia cencel bad bgt"
Fire Enemys_23,5,2023-11-07 11:33:31,Updatetan terbaru yang saya suka sih🥰
Veny nurfajriyah,4,2023-11-07 11:29:33,"Aneh ngasih limit pinjaman gopay pinjam tapi pas mau minjem ditolak. Belum pernah dipake juga, ngapain ngasih limit!! Buat pajangan doang!"
akbar bariq,5,2023-11-07 11:29:13,gopay pinjam sya tolong dong diaktifkan
Iqbal Balatif,3,2023-11-07 11:28:01,"Saran aja Buat temen2.. Jgn Beli Paket Goplus Jangka Panjang.. Krn kalau udah beli,, Gojek Pelit Kasih Voucher.. Jd konsep bisnisnya Picik gmn gitu.. 🥲.. Jd Beli yg Jangka Pendek saja.. Dapat voucher Baru beli.. Gitu"
Andrean Adi,1,2023-11-07 11:21:42,"Stay GRAB , kalo hujan Ongkir Food Mehong.."
Gladys Tiwa,5,2023-11-07 11:14:02,Bgs sih
Nerlin Silangit,5,2023-11-07 11:07:33,Sopan
Delimaa,1,2023-11-07 10:58:31,"Aplikasi nya buruk sekali, driver nya sudah berani korupsi uang saya"
Daffah nabiil Athaillah,5,2023-11-07 10:44:09,Bagus
Triyono Yono,5,2023-11-07 10:33:44,Mqntab 👍👍👍👍👍
andri Ibrahim,5,2023-11-07 10:24:02,Trus maju dah..👍
abdi Purba,1,2023-11-07 10:24:00,Gojek anjiiing....... udah mahalll. Kadang eror metode pembayaran. Harus cash pdahal saldo masih banyak. Anjinggg anjingg
Sherlly Febrinah,1,2023-11-07 10:19:54,"Saya transaksi menunggu,seharian ga terkirim,gopay payah,respon jelek."
ties cookies,3,2023-11-07 10:16:02,"sedih bgt pdhl pas mau order pesen 1 uda di cek lagi jga cuma 37 tbtb pas pak nya datang jdi 83🥲 kenapa sih eror nya malah nambah orderan untung duitny ada kalau gaada kan bingung , semoga bisa diperbaiki lgi"
Sri Indrawati,1,2023-11-07 10:14:17,Mengapa transfer dari gopay ke bank hsbc atau bank ekonomi gagal trus?
Badai Muth. Siregar,5,2023-11-07 10:10:51,Terima kasih sudah menemani hari-hariku bekerja selama 13 tahun.
Subhan Nuryati,5,2023-11-07 10:05:22,"sejauh ini puas sm layanan gojek,semoga makin di tingkatkan lg😊"
Aina Azahra,5,2023-11-07 10:00:56,Gojek mobil serasa punya mobil pribadi trimakasih gojek tranfortasi nya semoga sukses dan makin di depan
Raja Sakur,1,2023-11-07 09:55:43,Gw kasih bintang satu karena Go-Jek tolol dan babi suka banyak iklan tolol Go-Jek kaya babi
Heri D' Naizer,1,2023-11-07 09:52:17,"Gopaylater tiba2 gak bisa di pake, padahal gk pernah telat bayar. Kecewa!!"
Yulie Harahap,1,2023-11-07 09:37:30,"Makin lama n kesini pelayanan gojek dlm menangani masalah dgn alasan yg tdk msk akal n aneh. Sy sdh kecewa, smp detik aja akun gopaylater sy aja msh dinonaktifkan, jd buat apa sy gunakan aplikasi ini lg, n sy sdh ngga minat bahas ini lg."
Dewi Anggraeni,5,2023-11-07 09:36:54,Bagus
Revo Randika,5,2023-11-07 09:28:29,Mantyllll
Koka Family,5,2023-11-07 09:27:40,Mantap
Dimas Utomo,5,2023-11-07 09:24:44,Mantap
Ryan Alvarenz,5,2023-11-07 09:21:39,aplikasi terbaik
MOH ALFAN an,5,2023-11-07 09:18:10,Bagus
Airlangga Surya,5,2023-11-07 09:14:42,Favorit dan langganan.
Fitri Indah lestari,3,2023-11-07 08:42:11,Setelah di bayar gopaylater ga bisa di pake lagi gimna si
Furqan Mujaddid,1,2023-11-07 08:41:41,Parah sekarang gofood diskonnya ongkir doang. Ga kayak dlu banyak diskon gofood. Kalau saldo gopayku udah habis ku uninstall. Beralih ke aplikasi lain aja
Velien Adriana,1,2023-11-07 08:39:12,padahal sudah di update. masih tidak bisa di pake go paylater nya
